Student ID,Number of assignments completed,Attendance rate,Previous GPA,Study Hours,Previous Passes,Pass/Fail
1,11,0.72,2.42,14,5,1
2,8,0.55,3.08,27,5,1
3,12,0.69,3.39,1,3,0
4,9,0.83,2.46,1,4,0
5,11,0.83,2.35,22,3,1
6,14,0.8,3.96,21,7,1
7,7,0.64,3.03,18,1,0
8,11,0.78,2.52,24,1,1
9,12,0.69,3.99,25,7,1
10,9,0.99,3.93,29,4,1
11,8,0.92,3.12,28,6,1
12,12,0.86,3.77,21,3,1
13,12,0.62,2.38,25,0,0
14,7,0.63,2.56,25,5,1
15,10,0.52,3.4,21,5,1
16,9,0.86,3.69,16,4,1
17,6,0.56,3.71,19,6,1
18,12,0.72,2.81,9,1,0
19,10,0.6,3.78,5,1,0
20,6,0.95,3.7,14,5,1
21,9,0.74,3.87,21,4,1
22,5,0.78,3.57,10,3,0
23,14,0.85,3.34,27,1,1
24,10,0.57,3.16,4,3,0
25,13,0.8,2.74,0,6,0
26,5,0.77,3.88,7,1,0
27,14,0.6,3.95,20,1,0
28,7,0.97,2.57,27,2,1
29,11,0.8,2.61,11,1,0
30,8,0.85,2.97,11,7,1
31,13,0.94,2.9,4,0,0
32,7,0.81,3.99,6,7,1
33,9,0.65,2.35,3,4,0
34,7,0.55,2.04,5,4,0
35,11,0.73,2.99,12,3,0
36,9,0.61,2.36,19,7,1
37,13,0.71,2.73,29,7,1
38,11,0.94,3.49,14,7,1
39,6,0.66,3.44,2,6,0
40,8,0.56,2.62,22,1,0
41,13,0.68,3.09,7,0,0
42,6,0.95,3.02,19,3,1
43,14,0.64,3.27,15,7,1
44,13,0.82,2.5,12,7,1
45,14,0.5,3.18,17,2,0
46,9,0.68,3.96,27,3,1
47,6,0.65,2.97,9,7,1
48,8,0.58,3.81,29,3,1
49,11,0.77,2.87,18,1,0
50,12,0.74,2.7,16,2,0
51,7,0.85,3.29,23,3,1
52,5,0.63,3.34,18,0,0
53,8,0.62,3.73,27,0,1
54,6,0.58,2.46,25,4,1
55,12,0.61,3.0,22,2,1
56,8,0.78,3.14,25,2,1
57,6,0.7,3.54,4,4,0
58,10,0.53,2.09,25,3,1
59,10,0.63,3.99,20,2,1
60,14,0.62,2.94,29,0,1
61,8,0.85,2.56,22,0,0
62,10,0.86,3.77,8,7,1
63,6,0.57,3.5,11,1,0
64,14,1.0,3.91,20,2,1
65,6,0.63,2.66,0,3,0
66,14,0.99,3.11,25,4,1
67,8,0.71,3.14,25,4,1
68,12,0.52,3.96,0,3,0
69,11,0.67,2.15,14,6,1
70,13,0.82,2.61,1,5,0
71,12,0.84,2.38,29,1,1
72,9,0.77,2.54,21,4,1
73,6,0.72,2.97,15,2,0
74,9,0.78,2.75,24,1,1
75,12,0.8,2.79,7,2,0
76,14,0.54,3.69,12,6,1
77,13,0.68,3.86,20,0,0
78,13,0.62,2.14,0,1,0
79,5,0.9,2.42,15,7,1
80,13,0.74,3.34,28,4,1
81,11,0.99,2.72,6,1,0
82,13,0.7,2.51,4,1,0
83,12,0.91,2.59,21,1,0
84,5,0.9,2.65,28,5,1
85,12,0.58,3.7,22,1,0
86,12,0.75,2.27,2,2,0
87,7,0.85,3.42,11,0,0
88,5,0.93,3.11,25,6,1
89,12,0.66,2.59,15,3,0
90,7,0.61,2.84,18,1,0
91,7,0.86,2.51,4,4,0
92,5,0.9,3.22,21,1,0
93,9,0.67,2.16,24,4,1
94,14,0.55,2.01,28,2,1
95,11,0.97,3.26,13,4,0
96,14,0.7,2.39,27,7,1
97,13,0.76,2.14,4,3,0
98,11,0.92,2.79,14,0,0
99,13,0.84,2.1,16,4,1
100,12,0.87,3.77,29,4,1
