Student ID,Assignments Completed,Attendance Rate,Previous GPA,Study Hours,Previous Passes,Pass/Fail
1,11,0.79,3.09,11,2,0
2,8,0.8,3.29,1,5,0
3,12,0.85,4.07,0,7,0
4,9,0.89,3.11,15,7,1
5,11,0.86,3.83,22,7,1
6,14,0.9,2.77,22,0,0
7,7,0.84,3.04,29,3,1
8,11,0.87,2.7,23,0,0
9,12,0.95,2.66,4,5,0
10,9,0.74,2.87,2,0,0
11,8,0.86,2.86,11,1,0
12,12,0.86,2.7,7,3,0
13,12,0.94,2.73,21,3,1
14,7,0.83,3.55,26,5,1
15,10,0.92,4.06,2,6,0
16,9,0.96,2.75,0,1,0
17,6,0.67,2.84,2,2,0
18,12,0.97,3.26,4,0,0
19,10,0.75,4.59,14,4,1
20,6,0.74,3.04,13,0,0
21,9,0.56,3.49,2,7,0
22,5,0.77,3.77,0,0,0
23,14,0.85,3.17,4,2,0
24,10,0.81,3.46,25,0,0
25,13,0.8,3.3,22,1,0
26,5,0.74,3.52,13,1,0
27,14,0.94,2.48,6,3,0
28,7,0.95,3.1,26,5,1
29,11,0.89,3.24,8,6,1
30,8,0.66,3.23,14,4,1
31,13,1.08,3.57,14,7,1
32,7,0.86,3.22,25,0,0
33,9,0.9,2.43,9,0,0
34,7,0.7,3.3,27,2,1
35,11,0.85,2.56,12,5,1
36,9,0.89,2.65,18,1,0
37,13,0.84,2.79,6,4,0
38,11,0.94,2.94,16,3,0
39,6,0.98,2.23,19,1,0
40,8,0.72,3.56,28,7,1
41,13,0.94,2.42,3,5,0
42,6,0.89,3.79,29,7,1
43,14,0.85,2.44,4,6,0
44,13,0.69,3.64,22,3,1
45,14,1.0,2.99,6,6,0
46,9,0.89,2.14,12,2,0
47,6,0.67,2.48,14,7,1
48,8,0.83,3.66,10,2,0
49,11,0.88,3.22,28,0,1
50,12,0.9,2.96,3,6,0
51,7,0.84,1.89,12,5,1
52,5,0.88,3.69,6,7,1
53,8,1.06,3.94,26,4,1
54,6,1.0,3.84,18,3,1
55,12,0.76,2.69,21,1,0
56,8,0.79,3.19,27,5,1
57,6,0.84,3.25,1,5,0
58,10,0.68,2.24,9,2,0
59,10,0.72,3.09,12,6,1
60,14,0.69,3.54,29,7,1
61,8,0.74,3.38,24,7,1
62,10,0.99,2.44,20,0,0
63,6,0.76,2.57,5,0,0
64,14,0.75,3.4,27,3,1
65,6,0.94,3.32,27,2,1
66,14,0.81,1.87,11,5,1
67,8,0.89,1.77,11,7,1
68,12,0.78,2.96,19,4,1
69,11,0.67,2.71,29,2,1
70,13,0.9,2.85,29,3,1
71,12,0.69,2.79,10,3,0
72,9,0.8,3.49,25,2,1
73,6,0.78,3.05,22,3,1
74,9,0.87,3.13,27,2,1
75,12,0.79,2.33,24,1,1
76,14,0.84,1.32,6,2,0
77,13,0.69,3.56,29,6,1
78,13,1.05,4.07,0,2,0
79,5,0.73,2.83,0,3,0
80,13,0.97,3.12,24,7,1
81,11,0.86,3.16,26,6,1
82,13,0.86,3.84,29,3,1
83,12,0.89,3.44,24,0,0
84,5,0.66,3.25,19,0,0
85,12,0.95,3.03,12,7,1
86,12,0.8,3.03,8,7,1
87,7,0.97,2.28,2,6,0
88,5,0.83,2.81,6,1,0
89,12,0.81,3.44,5,7,1
90,7,0.72,2.88,7,0,0
91,7,0.77,3.02,26,2,1
92,5,0.89,2.41,8,3,0
93,9,0.72,3.22,29,0,1
94,14,0.65,2.27,4,0,0
95,11,0.76,3.14,0,1,0
96,14,0.93,2.91,18,6,1
97,13,1.03,2.13,9,6,1
98,11,0.78,3.53,11,5,1
99,13,0.7,2.92,23,1,1
100,12,0.82,3.93,14,2,0
