ID,year,age,sex,status,education,jobclass,health,health_ins,logwage,wage
1,2006,18,Male,Never Married,Less than HS Grad,Industrial,Good,No,4.318063335,75.04315402
2,2004,24,Male,Never Married,College Grad,Information,Very Good,No,4.255272505,70.47601965
3,2003,45,Male,Married,Some College,Industrial,Good,Yes,4.875061263,130.9821774
4,2003,43,Male,Married,College Grad,Information,Very Good,Yes,5.041392685,154.685293
5,2005,50,Male,Divorced,HS Grad,Information,Good,Yes,4.318063335,75.04315402
6,2008,54,Male,Married,College Grad,Information,Very Good,Yes,4.84509804,127.1157438
7,2009,44,Male,Married,Some College,Industrial,Very Good,Yes,5.133021279,169.528538
8,2008,30,Male,Never Married,Some College,Information,Good,Yes,4.716003344,111.7208494
9,2006,41,Male,Never Married,Some College,Information,Very Good,Yes,4.77815125,118.8843593
10,2004,52,Male,Married,HS Grad,Information,Very Good,Yes,4.857332496,128.6804882
11,2007,45,Male,Divorced,Some College,Information,Good,Yes,4.763427994,117.1468169
12,2007,34,Male,Married,HS Grad,Industrial,Very Good,No,4.397940009,81.28325328
13,2005,35,Male,Never Married,HS Grad,Information,Very Good,Yes,4.494154594,89.49247952
14,2003,39,Male,Married,College Grad,Industrial,Very Good,Yes,4.903089987,134.7053751
15,2009,54,Male,Married,HS Grad,Information,Very Good,Yes,4.903089987,134.7053751
16,2009,51,Male,Married,Some College,Industrial,Very Good,Yes,4.505149978,90.48191336
17,2003,37,Male,Never Married,College Grad,Industrial,Very Good,No,4.414973348,82.6796373
18,2006,50,Male,Married,Advanced Degree,Information,Very Good,No,5.360551762,212.8423523
19,2007,56,Male,Married,College Grad,Industrial,Good,Yes,4.861026342,129.156693
20,2003,37,Male,Never Married,Some College,Industrial,Very Good,Yes,4.591064607,98.59934386
21,2003,38,Male,Married,College Grad,Information,Very Good,No,5.301029996,200.5432623
22,2005,40,Male,Divorced,HS Grad,Information,Very Good,No,3.920123326,50.40666086
23,2009,75,Male,Married,College Grad,Industrial,Very Good,Yes,4.447158031,85.38394038
24,2007,40,Male,Married,College Grad,Information,Very Good,No,5.079181246,160.6424754
25,2006,38,Male,Never Married,HS Grad,Industrial,Good,No,4.544068044,94.07271475
26,2005,49,Male,Married,Advanced Degree,Information,Very Good,Yes,5.626186335,277.6014175
27,2006,43,Male,Married,HS Grad,Industrial,Good,Yes,4.431363764,84.04595765
28,2004,34,Male,Married,HS Grad,Industrial,Good,Yes,4.176091259,65.11085372
29,2008,57,Male,Married,HS Grad,Industrial,Very Good,No,4.755874856,116.2653241
30,2003,18,Male,Never Married,HS Grad,Industrial,Very Good,Yes,4.255272505,70.47601965
31,2004,55,Male,Married,Advanced Degree,Information,Very Good,Yes,5.276461804,195.676308
32,2005,51,Male,Married,Some College,Information,Very Good,Yes,4.619093331,101.4020523
33,2008,33,Male,Never Married,Advanced Degree,Industrial,Very Good,No,4.397940009,81.28325328
34,2005,34,Male,Never Married,HS Grad,Industrial,Very Good,No,4.716003344,111.7208494
35,2006,36,Male,Married,College Grad,Information,Very Good,Yes,4.498475968,89.88004678
36,2003,56,Male,Never Married,Advanced Degree,Information,Good,Yes,4.477121255,87.98103279
37,2006,70,Male,Never Married,College Grad,Industrial,Good,Yes,4.477121255,87.98103279
38,2004,25,Male,Never Married,College Grad,Industrial,Very Good,Yes,4.643452676,103.9024706
39,2006,32,Male,Married,Some College,Industrial,Very Good,No,4.662757832,105.9278108
40,2003,27,Male,Married,Less than HS Grad,Industrial,Very Good,No,4.193124598,66.22940829
41,2004,28,Male,Married,College Grad,Industrial,Very Good,No,3.544068044,34.60741773
42,2007,27,Male,Never Married,College Grad,Information,Very Good,Yes,4.698970004,109.8339856
43,2004,43,Male,Never Married,Less than HS Grad,Industrial,Good,No,3.812913357,45.28216999
44,2005,50,Male,Never Married,Less than HS Grad,Industrial,Good,Yes,4.301029996,73.77574327
45,2004,39,Male,Married,HS Grad,Information,Very Good,No,4.397940009,81.28325328
46,2008,52,Male,Married,Advanced Degree,Industrial,Very Good,Yes,5.041392685,154.685293
47,2009,35,Male,Married,College Grad,Industrial,Very Good,Yes,5.590617833,267.9010869
48,2007,57,Male,Married,Advanced Degree,Information,Very Good,Yes,5.176091259,176.9896505
49,2006,25,Male,Never Married,Less than HS Grad,Industrial,Very Good,No,4.193124598,66.22940829
50,2006,33,Male,Never Married,HS Grad,Information,Good,Yes,4.755874856,116.2653241
51,2005,57,Male,Married,Advanced Degree,Information,Very Good,No,5.301029996,200.5432623
52,2008,71,Male,Married,Some College,Industrial,Very Good,Yes,4.62324929,101.8243521
53,2004,43,Male,Married,College Grad,Industrial,Very Good,Yes,5.606885241,272.2947832
54,2003,23,Male,Never Married,Some College,Industrial,Very Good,No,3.556302501,35.03342132
55,2009,30,Male,Never Married,Advanced Degree,Information,Very Good,Yes,4.740362689,114.4757133
56,2004,22,Male,Never Married,HS Grad,Information,Very Good,Yes,4.397940009,81.28325328
57,2006,59,Male,Married,Advanced Degree,Information,Good,Yes,5.301029996,200.5432623
58,2003,28,Male,Never Married,College Grad,Information,Very Good,Yes,5,148.4131591
59,2004,61,Male,Married,HS Grad,Industrial,Very Good,Yes,4.602059991,99.6894637
60,2003,34,Male,Married,HS Grad,Information,Very Good,Yes,4.716003344,111.7208494
61,2005,43,Male,Married,College Grad,Industrial,Very Good,Yes,5.029383778,152.838801
62,2006,54,Male,Married,Some College,Industrial,Very Good,No,4.763427994,117.1468169
63,2005,69,Male,Married,HS Grad,Industrial,Good,Yes,4.353339095,77.7376033
64,2004,41,Male,Married,Some College,Industrial,Good,Yes,4.477121255,87.98103279
65,2003,48,Male,Married,Advanced Degree,Information,Very Good,Yes,4.832508913,125.5254984
66,2003,49,Male,Married,Some College,Information,Very Good,Yes,4.814913181,123.336104
67,2009,42,Male,Married,HS Grad,Industrial,Very Good,Yes,5.064457989,158.2946214
68,2003,37,Male,Married,College Grad,Information,Very Good,Yes,5.301029996,200.5432623
69,2004,55,Male,Married,HS Grad,Industrial,Very Good,Yes,4.602059991,99.6894637
70,2008,21,Male,Never Married,HS Grad,Industrial,Very Good,No,4.255272505,70.47601965
71,2004,58,Male,Married,HS Grad,Information,Very Good,Yes,4.544068044,94.07271475
72,2006,31,Male,Never Married,HS Grad,Industrial,Very Good,No,4.397940009,81.28325328
73,2006,25,Male,Never Married,HS Grad,Industrial,Very Good,Yes,4.397940009,81.28325328
74,2006,32,Male,Never Married,Some College,Information,Very Good,Yes,4.612783857,100.7642728
75,2009,40,Male,Never Married,Less than HS Grad,Information,Very Good,Yes,4.544068044,94.07271475
76,2003,44,Male,Married,Advanced Degree,Information,Very Good,No,4.602059991,99.6894637
77,2003,60,Male,Married,College Grad,Industrial,Very Good,Yes,5.591980114,268.266292
78,2006,23,Male,Never Married,Less than HS Grad,Industrial,Good,Yes,4.397940009,81.28325328
79,2003,63,Male,Married,HS Grad,Information,Very Good,No,4.73239376,113.5670896
80,2008,44,Male,Never Married,Less than HS Grad,Industrial,Good,No,4.477121255,87.98103279
81,2005,47,Male,Married,Advanced Degree,Information,Good,Yes,4.857332496,128.6804882
82,2004,61,Male,Married,Some College,Industrial,Very Good,Yes,4.670245853,106.7239776
83,2009,55,Male,Married,Advanced Degree,Information,Very Good,No,4.190331698,66.04469423
84,2003,24,Male,Never Married,Less than HS Grad,Industrial,Good,No,3.942008053,51.52195631
85,2007,42,Male,Widowed,HS Grad,Industrial,Very Good,Yes,4.447158031,85.38394038
86,2006,25,Male,Married,HS Grad,Information,Very Good,Yes,4.342422681,76.89360252
87,2004,34,Male,Divorced,HS Grad,Industrial,Very Good,No,4.505149978,90.48191336
88,2009,53,Male,Married,Less than HS Grad,Information,Very Good,No,4.220631019,68.07642829
89,2009,53,Male,Married,College Grad,Information,Very Good,Yes,4.875061263,130.9821774
90,2009,70,Male,Married,Advanced Degree,Information,Good,No,4.851258349,127.901233
91,2004,47,Male,Married,College Grad,Information,Very Good,Yes,4.876910311,131.2245938
92,2003,46,Male,Married,HS Grad,Industrial,Very Good,Yes,4.602059991,99.6894637
93,2003,33,Male,Divorced,Less than HS Grad,Industrial,Good,Yes,4.342422681,76.89360252
94,2005,34,Male,Married,Advanced Degree,Information,Very Good,Yes,4.681241237,107.9039239
95,2006,22,Male,Never Married,HS Grad,Industrial,Good,No,4.397940009,81.28325328
96,2009,74,Male,Married,HS Grad,Industrial,Very Good,Yes,4.602059991,99.6894637
97,2003,40,Male,Married,Some College,Information,Good,Yes,4.591064607,98.59934386
98,2006,45,Male,Married,College Grad,Information,Very Good,Yes,5.301029996,200.5432623
99,2009,43,Male,Married,College Grad,Information,Very Good,Yes,5.053078443,156.5035109
100,2005,33,Male,Married,College Grad,Information,Very Good,Yes,4.976349979,144.944365
101,2009,62,Male,Married,College Grad,Information,Very Good,Yes,4.77815125,118.8843593
102,2008,37,Male,Married,College Grad,Information,Very Good,Yes,4.799340549,121.4303138
103,2004,54,Male,Married,HS Grad,Information,Good,Yes,4.716003344,111.7208494
104,2005,34,Male,Married,Some College,Industrial,Very Good,No,4.230448921,68.74808773
105,2008,50,Male,Never Married,College Grad,Information,Very Good,Yes,4.740362689,114.4757133
106,2006,46,Male,Divorced,Some College,Industrial,Good,Yes,4.556302501,95.23071257
107,2007,41,Male,Married,Less than HS Grad,Industrial,Very Good,No,4.477121255,87.98103279
108,2003,63,Male,Divorced,Some College,Industrial,Good,Yes,4.163161375,64.27439722
109,2007,38,Male,Married,Some College,Industrial,Good,Yes,4.857332496,128.6804882
110,2006,35,Male,Married,Some College,Industrial,Very Good,Yes,4.740362689,114.4757133
111,2009,29,Male,Married,College Grad,Information,Good,Yes,4.72427587,112.6488963
112,2008,66,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,4.397940009,81.28325328
113,2004,37,Male,Married,HS Grad,Information,Good,Yes,4.329357194,75.89548482
114,2006,39,Male,Married,HS Grad,Information,Very Good,Yes,4.719720651,112.136923
115,2003,42,Male,Married,HS Grad,Industrial,Very Good,No,4.447158031,85.38394038
116,2007,51,Male,Divorced,HS Grad,Industrial,Very Good,Yes,4.544068044,94.07271475
117,2009,55,Male,Married,Advanced Degree,Industrial,Good,Yes,4.740362689,114.4757133
118,2006,51,Male,Married,Advanced Degree,Industrial,Very Good,Yes,5.176091259,176.9896505
119,2008,38,Male,Married,Advanced Degree,Industrial,Good,Yes,5.623217234,276.7784133
120,2005,49,Male,Married,HS Grad,Information,Very Good,Yes,4.62324929,101.8243521
121,2006,42,Male,Married,HS Grad,Information,Very Good,No,4.51851394,91.69922611
122,2009,43,Male,Separated,Less than HS Grad,Information,Good,No,4.462397998,86.69515483
123,2006,38,Male,Married,College Grad,Information,Very Good,Yes,5.093421685,162.9464607
124,2008,59,Male,Married,HS Grad,Industrial,Very Good,Yes,4.936010796,139.2137881
125,2009,57,Male,Married,Some College,Industrial,Good,Yes,4.556302501,95.23071257
126,2005,25,Male,Never Married,HS Grad,Industrial,Good,No,4.204119983,66.96164432
127,2004,49,Male,Married,College Grad,Industrial,Good,Yes,4.87667961,131.1943236
128,2004,41,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,4.505149978,90.48191336
129,2009,38,Male,Married,HS Grad,Industrial,Very Good,Yes,4.740362689,114.4757133
130,2003,61,Male,Married,Advanced Degree,Industrial,Very Good,Yes,4.371067862,79.1280845
